route,total pixels,black,grey,orange,darkgreen brown,no growth,location
sweat 7ft,4691652,182770,483081,0,104573,3921228,on
sweat 9ft,3333324,67211,399550,12973,47146,2806444,on
sweat right 7ft,3926107,255396,389825,21354,157750,3101782,off
sweat right 9ft,4269174,372788,448670,6488,42082,3399146,off
prosweat 7ft,4945131,497547,0,0,233593,4213991,on
prosweat 9ft,4645142,615190,604693,0,185772,3239487,on
prosweat right 7ft,5055069,658741,809924,0,0,3586404,off
prosweat right 9ft,5374963,963038,159413,0,167763,4084749,off
orange peel 7ft,3371851,467538,2678,0,2681,2898954,on
orange peel 9ft,3453644,629841,482,0,699,2822622,on
orange peel right 7ft,4463895,479812,232522,6492,17376,3727693,off
orange peel right 9ft,4626922,537505,54592,0,5330,4029495,off
orient express 7ft,5025488,0,29151,15248,0,4981089,on
orient express 9ft,4982206,45451,89530,8038,45270,4793917,on
orient express right 7ft,5007607,0,156776,10006,0,4840825,off
orient express right 9ft,4492361,0,434078,15081,120396,3922806,off