route,prop black,prop grey,prop orange,prop darkgreen brown,prop no growth,style,location
sweat 7ft,0.038956427,0.102966077,0,0.022289164,0.835788332,trad,on
sweat 9ft,0.020163356,0.119865336,0.003891911,0.01414384,0.841935557,trad,on
sweat right 7ft,0.065050698,0.099290468,0.005438976,0.040179751,0.790040108,trad,off
sweat right 9ft,0.087320873,0.105095271,0.001519732,0.009857176,0.796206948,trad,off
prosweat 7ft,0.100613513,0,0,0.047236969,0.852149518,sport,on
prosweat 9ft,0.132437286,0.130177506,0,0.039992749,0.697392459,sport,on
prosweat right 7ft,0.130312959,0.160220167,0,0,0.709466874,sport,off
prosweat right 9ft,0.179171094,0.029658437,0,0.031211936,0.759958534,sport,off
orange peel 7ft,0.138659152,0.000794223,0,0.000795112,0.859751513,trad,on
orange peel 9ft,0.182369984,0.000139563,0,0.000202395,0.817288059,trad,on
orange peel right 7ft,0.107487295,0.052089487,0.001454335,0.003892565,0.835076318,trad,off
orange peel right 9ft,0.116169021,0.011798772,0,0.001151954,0.870880253,trad,off
orient express 7ft,0,0.005800631,0.003034133,0,0.991165236,sport,on
orient express 9ft,0.009122666,0.017969951,0.001613342,0.009086336,0.962207705,sport,on
orient express right 7ft,0,0.031307569,0.00199816,0,0.966694271,sport,off
orient express right 9ft,0,0.096625805,0.003357032,0.026800161,0.873217001,sport,off