film,domesticgross,comedy,director
Swearnet: The Movie,,,
Fuck: a documentary on the world,22359,no,
The Wolf of Wall Street,116900694,no,martin.scorsese
Summer of Sam,19288130,no,spike.lee
Nil by Mouth,266130,no,gary.oldman
Casino,42512375,no,martin.scorsese
Uncut Gems,49929594,no,benny.safdie
Straight Outta Compton,161197785,no,f.gary.gray
Alpha Dog,15309602,no,nick.cassavetes
End of Watch,41003371,no,david.ayer
Twin Town,127923,yes,kevin.allen
Running Scared,6855137,no,wayne.kramer
Sweet Sixteen,316319,no,ken.loach
Martin Lawrence Live: Runteldat,19184820,yes,david.raynr
Menace II Society,27912072,no,albert.hughes
Goodfellas,46836214,no,martin.scorsese
Narc,10465659,no,joe.carnahan
Harsh Times,3337931,no,david.ayer
Made,5313300,yes,joe.favreau
Another Day in Paradise,1036818,no,larry.clark
Pride and Glory,15740721,no,gavin.o.connor
Dirty,274245,no,chris.fisher
I'm Still Here,408983,yes,casey.affleck
Jarhead,62658220,no,sam.mendes
Bully,480811,no,larry.clark
State Property 2,1691706,no,damon.dash
Brooklyn's Finest,27163593,no,antoine.fuqua
Reservoir Dogs,2832029,no,quentin.tarantino
Pulp Fiction,107928762,no,quentin.tarantino
The Big Lebowski,18034458,yes,joel.coen
Jay and Silent Bob Strike Back,30085147,yes,kevin.smith
Wheelman,,,
Free Fire,1799312,yes,
Do the Right Thing,27545445,yes,spike.lee
The Boondock Saints,30471,no,troy.duffy
The Departed,132384315,no,martin.scorsese
Empire,17600423,no,franc.reyes
True Romance,12281551,no,tony.scott
Black Mass,62575678,no,scott.cooper
Resolution,,,
Goon,4168528,yes,michael.dowse
My Name Is Joe,354952,no,ken.loach
State of Grace,1911542,no,phil.joanou
Gridlock'd,5571205,yes,vondie.curtis.hall
The Devil's Rejects,17044981,no,rob.zombie
Eddie Murphy Raw,50504655,yes,rober.townsend
Suicide Kings,1740156,yes,peter.o.fallen
Zack and Miri Make a Porno,31457946,yes,kevin.smith
30 Minutes or Less,37053924,yes,ruben.fleishcher
Black and White,5277299,no,james.toback
American History X,6719864,no,tony.kaye
The Original Kings of Comedy,38182790,yes,spike.lee
Hot Tub Time Machine,50287556,yes,steve.pink
Monument Ave.,333760,no,ted.demme
Layer Cake,2339957,no,mattew.vaughn
All Eyez on Me,44922302,no,benny.boom
Scarface,45408703,no,brian.de.palma
Spun,411119,yes,jonas.akerlund
Dysfunktional Family,2255000,yes,george.gallo
Foolish,6033999,yes,dave.meyers
This Is The End,101470202,yes,seth.rogen
8 Mile,116750901,no,curtis.handson
22 Jump Street,191719337,yes,phil.lord
Skin,141396,no,guy.nattiv
A Bronx Tale,17287898,no,robert.de.niro
I Got the Hook Up,10317779,yes,michael.martin
Sabotage,10508518,no,david.ayer
Born on the Fourth of July,70001698,no,oliver.stone
Next Day Air,10027047,yes,benny.boom
Killing Them Softly,15026056,no,andrew.dominik
Overnight,,,
Ten Benny,15843,no,eric.bross
Superbad,121463226,yes,greg.mottola
Magnolia,22455976,no,paul.thomas.anderson
Monster,34469210,no,patty.jenkins
Belly,9639390,no,hype.williams
Hustle & Flow,22202809,no,craig.brewer
The Wall,1803064,no,doug.liman
Clockers,13071518,no,spike.lee
Get Rich or Die Tryin',30985352,no,jim.sheridan
Bad Santa 2,17782178,yes,mark.waters
The 51st State,,,
Chopper,236185,no,andrew.dominik
Bodied,113956,yes,joseph.kahn
Flawless,4488529,yes,joel.schumacher
Slam,1009819,no,marc.levin
Poetic Justice,27515786,no,john.singleton
Pineapple Express,87341380,yes,david.gordon.green
Trainspotting,16491080,no,danny.boyle
Project X,54731865,yes,nima.nourizadeh
Human Traffic,104257,yes,justin.kerrigan
Bad Santa,60060328,yes,terry.zwigoff
Tigerland,139692,no,joel.schumacher
Donnie Brasco,41909762,no,mike.newell
Mid90s,7362439,yes,jonah.hill
Backstage,1191835,no,chris.fiore
The Commitments,14919570,yes,alan.parker
Dolemite Is My Name,,,
Killerman,291477,no,malik.bader
Grindhouse,25037897,no,quentin.tarantino
Four Rooms,4257354,yes,quentin.tarantino
Death of a Dynasty,42108,yes,damon.dash
Gang Related,5906773,no,jim.kouf
District 9,115646235,no,neill.blomkamp
Crank: High Voltage,13684249,no,mark.neveldine
Funny People,51855045,yes,judd.apatow
Boogie Nights,26400640,no,paul.thomas.anderson
Formula 51,5204007,yes,ronny.yu
Blood In Blood Out,4496583,no,taylor.hackford
21 and Over,25682380,yes,jon.lucas
The Grey,51580236,no,joe.carnahan
Lone Survivor,125095601,no,peter.berg
Sausage Party,97685686,yes,greg.tiernan
Good Time,2026499,no,benny.safdie
Dirty Grandpa,35593113,yes,dan.mazer
Sorry to Bother You,17493096,yes,boot.riley
Snatch,30328156,yes,guy.richie
Platoon,138530565,no,oliver.stone
Blue Collar,6521083,no,paul.schrader
The Heat,159582188,yes,paul.feig
Colors,46616067,no,dennis.hopper
Dead Presidents,24147179,no,albert.hughes
That's My Boy,36931089,yes,sean.anders
Magic Mike,113721571,yes,steven.soderbergh
Intermission,896993,yes,john.crowley
The Town,92186262,no,ben.affleck
Legend,1872994,no,brian.helgeland
The Blair Witch Project,140539099,no,daniel.myrick
Notorious,36843682,no,george.tillman.jr
Good Will Hunting,138433435,no,gus.van.sant
Boiler Room,16970581,no,ben.younger
Bad Boys II,138608444,yes,michael.bay
All About the Benjamins,25916319,yes,kevin.bray
Ash Wednesday,2942,no,edward.burns
Soul Men,12082391,yes,malcolm.d.lee
Smokin' Stogies,,,
In the Name of the Father,25096862,no,jim.sheridan
Clerks II,24148068,yes,kevin.smith
The Night Before,43047372,yes,jonathan.levine
Everybody Wants Some!!,3400278,yes,richard.linklater
Patriots Day,31886361,no,peter.berg
Hoffa,24276506,no,danny.devito
The Place Beyond the Pines,21403519,no,derek.cianfrance
American Honey,663246,no,andrea.arnold